Time,card_11_avg_CPU,card_12_avg_CPU,card_13_avg_CPU,card_14_avg_CPU,card_15_avg_CPU,card_16_avg_CPU,card_17_avg_CPU
03/01/2017 14:44,11.0625,9.4375,10.75,11.5,9.125,8.875,9.375
03/01/2017 14:45,11.4375,9.1875,10.6875,11.375,9.4375,9.125,9
03/01/2017 14:46,11.3125,9.3125,10.9375,11.5,9.1875,8.9375,9.125
03/01/2017 14:47,11.125,9.3125,10.6875,11.125,9.4375,9.1875,9.1875
03/01/2017 14:48,11.0625,9.375,10.8125,11.75,9.1875,9.125,9
03/01/2017 14:49,11.0625,9.375,10.8125,11.75,9.1875,9.125,9
03/01/2017 14:50,11.125,9.5,10.6875,11.3125,9.1875,9.3125,9.25
03/01/2017 14:51,10.875,9.5,10.9375,11.75,9.375,9.0625,8.9375
03/01/2017 14:52,10.875,9.5,10.75,11.125,9.25,9.3125,9.25
03/01/2017 14:53,10.875,9.3125,10.6875,11.625,9.3125,9,8.75
03/01/2017 14:54,11,9.625,10.625,11,8.8125,9.1875,9.1875
03/01/2017 14:55,10.9375,9.375,10.75,11.625,9.375,9,9.25
03/01/2017 14:56,11.1875,9.625,10.875,11.4375,9.125,9.0625,9.25
03/01/2017 14:57,11.3125,9.25,10.875,11.75,9.4375,9.25,9.125
03/01/2017 14:58,11.125,9.75,10.75,11.125,9.125,9.0625,9.0625
03/01/2017 14:59,11.375,9.6875,11,11.875,9.3125,9.375,9.4375
03/01/2017 15:00,11.25,9.8125,10.8125,11.25,9.25,9.125,9
03/01/2017 15:01,11.0625,9.5,10.625,11.3125,9.125,9.25,9.3125
03/01/2017 15:02,10.8125,9.5625,10.625,11.25,9.1875,8.8125,9.0625
03/01/2017 15:03,10.8125,9.5625,10.625,11.25,9.1875,8.8125,9.0625
03/01/2017 15:04,11.1875,9.5,10.5625,11.4375,8.9375,9.0625,8.9375
03/01/2017 15:05,11,9.5625,10.5,11,9.375,9,9.0625
03/01/2017 15:06,10.875,9.125,10.3125,11.4375,9.125,9,9.0625
03/01/2017 15:07,10.5625,8.875,10.625,11,9.1875,9.0625,9.125
03/01/2017 15:08,10.75,9.0625,10.375,11.1875,8.875,8.9375,8.8125
03/01/2017 15:09,10.5,8.75,10.5625,11.0625,9.0625,8.9375,9.0625
03/01/2017 15:10,10.8125,9.375,10.5,11.3125,9.0625,8.75,8.9375
03/01/2017 15:11,10.5,9.0625,10.9375,11.125,9.0625,9.0625,9
03/01/2017 15:12,10.8125,9.25,10.8125,11.125,9.125,8.75,8.875
03/01/2017 15:13,10.25,8.875,11.0625,10.9375,8.9375,9.3125,8.875
03/01/2017 15:14,10.75,9.1875,10.5625,11.0625,9.1875,8.875,9
03/01/2017 15:15,10.5,9.25,10.8125,11,8.9375,8.875,8.5625
03/01/2017 15:16,10.6875,9.25,10.4375,11.0625,9.0625,8.9375,9
03/01/2017 15:17,10.6875,9.25,10.4375,11.0625,9.0625,8.9375,9
03/01/2017 15:18,10.5625,9.25,10.625,11,9,8.75,8.8125
03/01/2017 15:19,11,9.1875,10.3125,11.0625,9.0625,8.75,9
03/01/2017 15:20,10.625,9.1875,10.625,11.125,9.0625,8.5625,8.75
03/01/2017 15:21,11,9.1875,10.1875,11.1875,8.875,8.8125,9
03/01/2017 15:22,10.625,9.3125,10.5625,11.125,9.125,8.6875,8.9375
03/01/2017 15:23,10.9375,8.875,10.1875,11.3125,8.6875,9,8.75
03/01/2017 15:24,10.625,9.125,10.6875,10.9375,9.125,8.625,9.1875
03/01/2017 15:25,10.9375,9.125,10.375,11.1875,9,9.0625,8.75
03/01/2017 15:26,10.6875,9.1875,10.6875,11,9.25,8.8125,9.1875
03/01/2017 15:27,10.8125,9.125,10.25,10.9375,8.875,8.9375,8.75
03/01/2017 15:28,10.4375,9,10.4375,11,8.9375,9,9
03/01/2017 15:29,10.625,9.1875,10.125,11.1875,9.125,8.9375,8.9375
03/01/2017 15:30,10.625,8.9375,10.75,11.25,9.0625,9,8.8125
03/01/2017 15:31,10.625,8.9375,10.75,11.25,9.0625,9,8.8125
03/01/2017 15:32,11,9.125,10.4375,11.0625,9.25,8.6875,9.1875
03/01/2017 15:33,10.625,9,10.6875,11.0625,8.75,9.1875,8.6875
03/01/2017 15:34,10.75,9.375,10.5625,11,9,8.875,9.0625
03/01/2017 15:35,10.625,9.0625,10.8125,11.25,9.125,9.25,9
03/01/2017 15:36,11.125,9.5,10.5,11.3125,9.25,8.9375,9
03/01/2017 15:37,10.375,9,10.75,11.25,9.1875,9.1875,9
03/01/2017 15:38,10.75,9.3125,10.5,11.25,9.1875,9,8.8125
03/01/2017 15:39,10.6875,9.125,10.5,11.125,9.1875,8.9375,8.9375
03/01/2017 15:40,11.125,9.3125,10.625,11.0625,9.1875,9,8.9375
03/01/2017 15:41,10.875,9.375,10.6875,11.125,9.375,9,9
03/01/2017 15:42,10.9375,9.3125,10.6875,11.3125,8.9375,9.125,8.6875
03/01/2017 15:43,10.5625,9.4375,10.625,11.3125,9.25,8.875,9.25
03/01/2017 15:44,11.0625,8.875,10.625,11.25,9,9.0625,9.0625
03/01/2017 15:45,11.0625,8.875,10.625,11.25,9,9.0625,9.0625
03/01/2017 15:46,10.625,9.4375,10.8125,11.5625,9.125,8.8125,8.875
03/01/2017 15:47,10.9375,9.125,10.4375,11.0625,9.0625,9.0625,9.1875
03/01/2017 15:48,10.6875,9.25,10.5,11.3125,9.125,8.875,8.9375
03/01/2017 15:49,10.8125,9.125,10.4375,11.0625,9.3125,9.1875,9.3125
03/01/2017 15:50,10.5,9.25,10.375,11.25,9,8.8125,8.9375
03/01/2017 15:51,10.8125,9.1875,10.6875,11.3125,9.125,9.0625,9.25
03/01/2017 15:52,10.75,9.0625,10.625,11.5,8.8125,9,9.1875
03/01/2017 15:53,10.875,9.0625,10.5625,11.125,9.3125,8.9375,9.125
03/01/2017 15:54,10.875,9.375,10.5625,11.375,8.9375,9.125,9.25
03/01/2017 15:55,11,9.4375,10.75,11.125,9.25,8.8125,9
03/01/2017 15:56,10.6875,9.125,10.8125,11.4375,9.1875,9.125,9.125
03/01/2017 15:57,11,9.4375,10.8125,11.125,9.125,8.9375,8.8125
03/01/2017 15:58,10.875,9.0625,10.625,11.375,9.375,9.4375,9.1875
03/01/2017 15:59,10.875,9.0625,10.625,11.375,9.375,9.4375,9.1875
03/01/2017 16:00,11.125,9.4375,10.6875,11,9.1875,9.125,9.0625
03/01/2017 16:01,11.0625,9.125,10.75,11.3125,9.6875,9.125,9.25
